timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606143851.817,322.754,-5.859,-23.926,875.977,0.000,0
1606143851.821,-171.387,-35.645,-43.945,-262.207,0.000,0
1606143851.825,-479.004,-49.805,-54.199,-1000.000,0.000,0
1606143851.829,-188.965,-36.133,-36.621,-505.859,0.000,0
1606143851.833,307.617,-15.625,-1.465,742.676,0.000,0
1606143851.837,361.816,-12.207,-9.766,962.402,0.000,0
1606143851.840,-121.094,-35.156,-40.039,-141.602,0.000,0
1606143851.844,-472.168,-48.828,-53.711,-1000.000,0.000,0
1606143851.848,-248.047,-41.016,-43.457,-641.113,0.000,0
1606143851.852,249.023,-30.762,-24.902,574.219,0.000,0
1606143851.856,373.047,0.000,-12.695,-969.238,0.000,0
1606143851.860,-73.242,-13.184,-28.320,-12.207,0.000,0
1606143851.864,-470.215,-62.988,-57.129,-1000.000,0.000,0
1606143851.868,-305.664,-59.570,-41.992,-744.141,0.000,0
1606143851.872,218.750,-24.902,-8.301,434.570,0.000,0
1606143851.876,409.180,-9.766,-0.977,-925.781,0.000,0
1606143851.879,7.324,-27.344,-29.785,143.555,0.000,0
1606143851.883,-421.875,-46.387,-55.664,-1000.000,0.000,0
1606143851.887,-340.332,-43.945,-56.641,-838.867,0.000,0
1606143851.891,173.828,-27.832,-30.762,310.547,0.000,0
1606143851.895,423.828,2.930,-14.648,-902.344,0.000,0
1606143851.899,75.684,16.113,-22.949,323.242,0.000,0
1606143851.903,-386.719,-26.855,-41.504,-898.438,0.000,0
1606143851.907,-375.488,-49.805,-47.852,-924.805,0.000,0
1606143851.911,124.023,-25.879,-23.926,206.055,0.000,0
1606143851.915,432.617,1.953,-8.301,-898.926,0.000,0
1606143851.919,145.508,-14.648,-26.367,478.027,0.000,0
1606143851.922,-347.656,-42.969,-55.664,-760.254,0.000,0
1606143851.926,-414.551,-50.293,-60.059,-1000.000,0.000,0
1606143851.930,59.082,-30.273,-20.020,75.195,0.000,0
1606143851.934,418.945,-7.324,8.301,-919.434,0.000,0
1606143851.938,195.312,-15.625,-15.137,607.422,0.000,0
